"date";"vacances_zone_a";"vacances_zone_b";"vacances_zone_c";"nom_vacances"
"1990-01-01";"False";"False";"False";""
"1990-01-02";"False";"False";"False";""
"1990-01-03";"False";"False";"False";""
"1990-01-04";"False";"False";"False";""
"1990-01-05";"False";"False";"False";""
"1990-01-06";"False";"False";"False";""
"1990-01-07";"False";"False";"False";""
"1990-01-08";"False";"False";"False";""
"1990-01-09";"False";"False";"False";""
"1990-01-10";"False";"False";"False";""
"1990-01-11";"False";"False";"False";""
"1990-01-12";"False";"False";"False";""
"1990-01-13";"False";"False";"False";""
"1990-01-14";"False";"False";"False";""
"1990-01-15";"False";"False";"False";""
"1990-01-16";"False";"False";"False";""
"1990-01-17";"False";"False";"False";""
"1990-01-18";"False";"False";"False";""
"1990-01-19";"False";"False";"False";""
"1990-01-20";"False";"False";"False";""
"1990-01-21";"False";"False";"False";""
"1990-01-22";"False";"False";"False";""
"1990-01-23";"False";"False";"False";""
"1990-01-24";"False";"False";"False";""
"1990-01-25";"False";"False";"False";""
"1990-01-26";"False";"False";"False";""
"1990-01-27";"False";"False";"False";""
"1990-01-28";"False";"False";"False";""
"1990-01-29";"False";"False";"False";""
"1990-01-30";"False";"False";"False";""
"1990-01-31";"False";"False";"False";""
"1990-02-01";"False";"False";"False";""
"1990-02-02";"False";"False";"False";""
"1990-02-03";"False";"False";"False";""
"1990-02-04";"False";"False";"False";""
"1990-02-05";"False";"False";"False";""
"1990-02-06";"False";"False";"False";""
"1990-02-07";"False";"False";"False";""
"1990-02-08";"False";"False";"False";""
"1990-02-09";"False";"False";"False";""
"1990-02-10";"False";"False";"False";""
"1990-02-11";"False";"False";"False";""
"1990-02-12";"False";"False";"False";""
"1990-02-13";"False";"False";"False";""
"1990-02-14";"False";"False";"False";""
"1990-02-15";"False";"False";"False";""
"1990-02-16";"False";"False";"False";""
"1990-02-17";"False";"False";"False";""
"1990-02-18";"False";"False";"False";""
