id_lieux;Num_Acc;codr;catr
2012000000011;201200000001;1;3
2012000000021;201200000002;1;3
2012000000031;201200000003;1;3
2012000000041;201200000004;1;3
2012000000051;201200000005;1;3
2012000000061;201200000006;1;4
2012000000071;201200000007;1;3
2012000000081;201200000008;1;3
2012000000091;201200000009;1;2
2012000000101;201200000010;1;3
2012000000111;201200000011;1;3
2012000000121;201200000012;1;3
2012000000131;201200000013;1;3
2012000000141;201200000014;1;4
2012000000151;201200000015;1;2
2012000000161;201200000016;1;3
2012000000171;201200000017;1;3
2012000000181;201200000018;1;3
2012000000191;201200000019;1;3
2012000000201;201200000020;1;3
2012000000211;201200000021;1;4
2012000000221;201200000022;1;3
2012000000231;201200000023;1;4
2012000000241;201200000024;1;3
2012000000251;201200000025;1;3
2012000000261;201200000026;1;3
2012000000271;201200000027;1;3
2012000000281;201200000028;1;3
2012000000291;201200000029;1;3
2012000000301;201200000030;1;3
2012000000311;201200000031;1;3
2012000000321;201200000032;1;3
2012000000331;201200000033;1;3
2012000000341;201200000034;1;4
2012000000351;201200000035;1;3
2012000000361;201200000036;1;3
2012000000371;201200000037;1;4
2012000000381;201200000038;1;3
2012000000391;201200000039;1;4
2012000000401;201200000040;1;3
2012000000411;201200000041;1;4
2012000000421;201200000042;1;3
2012000000431;201200000043;1;3
2012000000441;201200000044;1;3
2012000000451;201200000045;1;3
2012000000461;201200000046;1;3
2012000000471;201200000047;1;3
2012000000481;201200000048;1;3
2012000000491;201200000049;1;3
2012000000501;201200000050;1;3
2012000000511;201200000051;1;3
2012000000521;201200000052;1;3
2012000000531;201200000053;1;3
2012000000541;201200000054;1;3
2012000000551;201200000055;1;3
2012000000562;201200000056;2;3
2012000000561;201200000056;1;3
2012000000571;201200000057;1;3
2012000000581;201200000058;1;3
2012000000591;201200000059;1;3
2012000000601;201200000060;1;3
2012000000611;201200000061;1;3
2012000000621;201200000062;1;3
2012000000631;201200000063;1;3
2012000000641;201200000064;1;3
2012000000651;201200000065;1;3
2012000000661;201200000066;1;3
2012000000671;201200000067;1;3
2012000000681;201200000068;1;3
2012000000691;201200000069;1;3
2012000000701;201200000070;1;3
2012000000711;201200000071;1;4
2012000000721;201200000072;1;3
2012000000731;201200000073;1;3
2012000000741;201200000074;1;4
2012000000751;201200000075;1;3
2012000000761;201200000076;1;4
2012000000771;201200000077;1;3
2012000000781;201200000078;1;3
2012000000791;201200000079;1;3
2012000000801;201200000080;1;4
2012000000811;201200000081;1;6
2012000000821;201200000082;1;3
2012000000831;201200000083;1;3
2012000000841;201200000084;1;3
2012000000851;201200000085;1;3
2012000000861;201200000086;1;4
2012000000871;201200000087;1;3
2012000000881;201200000088;1;3
2012000000891;201200000089;1;3
2012000000901;201200000090;1;3
2012000000911;201200000091;1;3
2012000000921;201200000092;1;3
2012000000931;201200000093;1;3
2012000000941;201200000094;1;3
2012000000951;201200000095;1;3
2012000000961;201200000096;1;3
2012000000971;201200000097;1;3
2012000000981;201200000098;1;3
2012000000991;201200000099;1;3
2012000001001;201200000100;1;9
2012000001011;201200000101;1;3
2012000001021;201200000102;1;3
2012000001031;201200000103;1;3
2012000001041;201200000104;1;4
2012000001051;201200000105;1;3
2012000001061;201200000106;1;3
2012000001071;201200000107;1;3
2012000001081;201200000108;1;3
2012000001091;201200000109;1;3
2012000001101;201200000110;1;2
2012000001111;201200000111;1;3
2012000001121;201200000112;1;3
2012000001131;201200000113;1;3
2012000001141;201200000114;1;3
2012000001151;201200000115;1;4
2012000001161;201200000116;1;3
2012000001171;201200000117;1;4
2012000001181;201200000118;1;3
2012000001191;201200000119;1;3
