date;id_date;Jour;code_mois;mois;trimestre;semestre;annee;jour_off;code_jour_off;vacances_zone_a
01-01-1996;19960101;Lundi;1;Janvier;1;1;1996;F;0;True
02-01-1996;19960102;Mardi;1;Janvier;1;1;1996;O;1;True
03-01-1996;19960103;Mercredi;1;Janvier;1;1;1996;O;1;True
04-01-1996;19960104;Jeudi;1;Janvier;1;1;1996;O;1;True
05-01-1996;19960105;Vendredi;1;Janvier;1;1;1996;O;1;True
06-01-1996;19960106;Samedi;1;Janvier;1;1;1996;OD;0,5;True
07-01-1996;19960107;Dimanche;1;Janvier;1;1;1996;R;0;True
08-01-1996;19960108;Lundi;1;Janvier;1;1;1996;O;1;False
09-01-1996;19960109;Mardi;1;Janvier;1;1;1996;O;1;False
10-01-1996;19960110;Mercredi;1;Janvier;1;1;1996;O;1;False
11-01-1996;19960111;Jeudi;1;Janvier;1;1;1996;O;1;False
12-01-1996;19960112;Vendredi;1;Janvier;1;1;1996;O;1;False
13-01-1996;19960113;Samedi;1;Janvier;1;1;1996;OD;0,5;False
14-01-1996;19960114;Dimanche;1;Janvier;1;1;1996;R;0;False
15-01-1996;19960115;Lundi;1;Janvier;1;1;1996;O;1;False
16-01-1996;19960116;Mardi;1;Janvier;1;1;1996;O;1;False
17-01-1996;19960117;Mercredi;1;Janvier;1;1;1996;O;1;False
18-01-1996;19960118;Jeudi;1;Janvier;1;1;1996;O;1;False
19-01-1996;19960119;Vendredi;1;Janvier;1;1;1996;O;1;False
20-01-1996;19960120;Samedi;1;Janvier;1;1;1996;OD;0,5;False
21-01-1996;19960121;Dimanche;1;Janvier;1;1;1996;R;0;False
22-01-1996;19960122;Lundi;1;Janvier;1;1;1996;O;1;False
23-01-1996;19960123;Mardi;1;Janvier;1;1;1996;O;1;False
24-01-1996;19960124;Mercredi;1;Janvier;1;1;1996;O;1;False
25-01-1996;19960125;Jeudi;1;Janvier;1;1;1996;O;1;False
26-01-1996;19960126;Vendredi;1;Janvier;1;1;1996;O;1;False
27-01-1996;19960127;Samedi;1;Janvier;1;1;1996;OD;0,5;False
28-01-1996;19960128;Dimanche;1;Janvier;1;1;1996;R;0;False
29-01-1996;19960129;Lundi;1;Janvier;1;1;1996;O;1;False
30-01-1996;19960130;Mardi;1;Janvier;1;1;1996;O;1;False
31-01-1996;19960131;Mercredi;1;Janvier;1;1;1996;O;1;False
01-02-1996;19960201;Jeudi;2;F?vrier;1;1;1996;O;1;False
