Num_Acc;id_Date;loc;atm;col;dep
201200000001;20120316;5;1;6;59
201200000002;20120901;5;1;3;59
201200000003;20121120;3;1;5;59
201200000004;20120107;5;1;3;59
201200000005;20120117;5;1;1;59
201200000006;20120122;5;1;6;59
201200000007;20120414;5;1;6;59
201200000008;20120713;5;1;6;59
201200000009;20120810;1;1;2;59
201200000010;20120914;1;1;6;59
201200000011;20120920;1;1;3;59
201200000012;20120920;5;1;3;59
201200000013;20121031;5;1;6;59
201200000014;20121109;5;1;1;59
201200000015;20121229;1;1;6;59
201200000016;20120207;1;1;1;59
201200000017;20120406;1;1;2;59
201200000018;20120406;5;1;6;59
201200000019;20120616;1;1;3;59
201200000020;20120720;4;3;6;59
201200000021;20121007;1;1;6;59
201200000022;20121129;1;8;7;59
201200000023;20121215;4;8;3;59
201200000024;20121221;1;1;1;59
201200000025;20120229;1;1;1;59
201200000026;20120510;1;1;6;59
201200000027;20120804;1;1;6;59
201200000028;20120805;3;1;1;59
201200000029;20121005;1;1;3;59
201200000030;20121014;1;1;6;59
201200000031;20121019;5;2;6;59
201200000032;20121024;4;1;3;59
201200000033;20121114;4;5;3;59
201200000034;20120114;1;1;6;59
201200000035;20120331;1;1;7;59
201200000036;20120328;1;1;3;59
201200000037;20120423;1;3;7;59
201200000038;20120517;1;1;6;59
201200000039;20120624;3;1;3;59
201200000040;20120629;1;1;1;59
201200000041;20120710;5;1;3;59
201200000042;20121106;5;1;6;59
201200000043;20120131;4;1;6;59
201200000044;20120201;4;1;6;59
201200000045;20120207;3;1;6;59
201200000046;20120225;3;1;3;59
201200000047;20120325;1;1;1;59
201200000048;20120909;4;1;1;59
201200000049;20121118;1;1;6;59
201200000050;20120109;1;1;6;59
201200000051;20120318;1;1;1;59
201200000052;20120714;1;1;6;59
201200000053;20120809;1;1;3;59
201200000054;20120907;3;1;2;59
201200000055;20121026;1;1;2;59
201200000056;20121031;1;1;3;59
201200000057;20121112;1;1;6;59
201200000058;20121221;1;1;6;59
201200000059;20120108;1;1;6;59
201200000060;20120526;1;1;2;59
201200000061;20120715;1;1;2;59
201200000062;20120718;1;1;3;59
201200000063;20120107;5;2;7;59
201200000064;20120226;1;5;7;59
201200000065;20120321;5;1;1;59
201200000066;20120404;1;1;6;59
201200000067;20120716;4;1;6;59
201200000068;20120728;1;1;6;59
201200000069;20121004;1;3;7;59
201200000070;20121005;5;2;2;59
201200000071;20121113;5;8;1;59
201200000072;20121115;1;1;1;59
201200000073;20121127;5;1;6;59
201200000074;20120105;5;1;6;59
201200000075;20120513;5;1;7;59
201200000076;20120707;1;3;6;59
201200000077;20120726;3;1;1;59
201200000078;20120922;3;1;6;59
201200000079;20120306;3;1;3;59
201200000080;20120325;3;1;7;59
201200000081;20120515;4;1;6;59
201200000082;20120519;1;1;1;59
201200000083;20120622;4;1;2;59
201200000084;20120621;1;9;7;59
201200000085;20120715;1;1;1;59
201200000086;20121218;4;1;3;59
201200000087;20120419;1;3;6;59
201200000088;20120704;4;2;1;59
201200000089;20120902;1;1;1;59
201200000090;20121007;3;1;3;59
201200000091;20121203;4;3;7;59
201200000092;20120113;3;1;1;59
201200000093;20120304;1;2;6;59
201200000094;20120612;1;7;5;59
201200000095;20120702;1;1;2;59
201200000096;20120925;1;1;5;59
201200000097;20120119;5;2;6;59
201200000098;20120321;1;1;2;59
201200000099;20120325;1;1;5;59
201200000100;20120714;5;1;6;59
201200000101;20121201;1;1;3;59
201200000102;20120202;1;9;6;59
201200000103;20120211;1;1;2;59
201200000104;20120527;3;7;1;59
201200000105;20120209;3;7;6;59
201200000106;20120811;3;1;6;59
201200000107;20121228;4;2;6;59
201200000108;20120301;1;2;6;59
201200000109;20120106;2;1;3;59
201200000110;20120118;1;1;1;59
201200000111;20120318;1;2;7;59
201200000112;20120729;1;9;1;59
201200000113;20120814;5;1;6;59
201200000114;20121019;3;1;1;59
201200000115;20120110;5;1;6;59
201200000116;20120722;1;1;7;59
201200000117;20120908;5;1;3;59
201200000118;20120112;4;1;1;59
201200000119;20120603;4;2;6;59
201200000120;20120701;2;1;7;59
201200000121;20120906;3;1;3;59
201200000122;20121015;2;1;3;59
201200000123;20121116;4;8;2;59
201200000124;20121222;1;3;1;59
201200000125;20120810;4;1;2;59
201200000126;20120819;4;1;6;59
201200000127;20121111;1;1;6;59
201200000128;20120826;1;1;7;59
201200000129;20120609;5;1;6;59
201200000130;20120630;1;1;7;59
201200000131;20120812;5;7;6;59
201200000132;20120824;5;1;6;59
201200000133;20120916;1;1;1;59
201200000134;20121216;5;1;6;59
201200000135;20120307;3;3;1;59
201200000136;20120712;5;1;6;59
201200000137;20120714;1;2;1;59
201200000138;20120919;5;1;3;59
201200000139;20121015;1;2;1;59
201200000140;20121114;5;1;1;59
201200000141;20121122;5;1;1;59
201200000142;20121212;5;1;6;59
201200000143;20121221;5;2;6;59
201200000144;20120508;1;8;6;59
201200000145;20120629;4;1;6;59
201200000146;20120710;1;1;6;59
201200000147;20120925;4;8;3;59
201200000148;20121115;1;8;7;59
201200000149;20121214;1;2;3;59
201200000150;20120419;1;1;6;59
201200000151;20121129;1;1;3;59
201200000152;20121212;1;7;4;59
201200000153;20121214;2;2;6;59
201200000154;20121221;1;1;1;59
201200000155;20120229;3;1;6;59
201200000156;20120304;1;5;7;59
201200000157;20121014;3;8;6;59
201200000158;20121031;4;1;3;59
201200000159;20121105;1;8;6;59
201200000160;20120103;1;1;2;59
201200000161;20120123;1;1;7;59
201200000162;20120611;3;2;3;59
